character,text,gender
REVEREND MOTHER MOHIAM," I hold at your neck the gom jabbar. A poison needle. Instant death. This test is simple. Remove your hand from the box, and you die.",male
REVEREND MOTHER MOHIAM, No need to call the guards. Your mother stands outside that door.,male
REVEREND MOTHER MOHIAM," Take your hand from the box, boy, and look at it.",male
REVEREND MOTHER MOHIAM, Pain by nerve induction.,male
REVEREND MOTHER MOHIAM," Like sifting sand through a screen. We sift people. If you were unable to control your impulses, like an animal -- we could not let you live. You inherit too much power.",male
REVEREND MOTHER MOHIAM," Your mother was tested thus, when she was your age.",male
REVEREND MOTHER MOHIAM," Duke Leto Atreides means nothing to our Order, but his wife is under our protection, and by extension, her son. You may not harm them. Allow them the dignity of exile.",male
REVEREND MOTHER MOHIAM, No one will get past her.,male
REVEREND MOTHER MOHIAM, Jessica!,male
STILGAR, So. He has come.,male
STILGAR," You are Outworlders, come for the spice. You take it, giving nothing in return.",male
STILGAR," I ask this: Do not seek our sietches or trespass in our lands. The desert was ours long before you came. Come and dig your spice. But when you have it, go back to this side of the Shield Wall. Leave the desert to the Fremen.",male
STILGAR, That is honorable.,male
STILGAR, This is the Duke’s son.,male
STILGAR, This is the boy I told you about. The chosen one. We can’t touch him.,male
STILGAR," Jamis, hold. That was a brave crossing they made in the path of Shai Hulud. He does not speak or act like a weakling. Nor did his father.",male
STILGAR, What wealth can you offer beyond the water in your flesh?,male
STILGAR, Why didn’t you say you were a weirding woman and a fighter?,male
STILGAR," Peace, woman! I judged hastily.",male
STILGAR," You will have your own maula pistol, when you’ve earned it.",male
STILGAR, Jamis! I have spoken. Be still.,male
STILGAR, You may not challenge a Sayyadina.,male
STILGAR, Jamis. Don’t do this. The night is fading.,male
STILGAR, The boy doesn’t know our rule. There can be no yielding under the amtal rule. Death is the test of it.,male
STILGAR, You are one of us now. A life for a life. Come with us to Sietch Tabr. The night is flown: We must travel under the sun.,male
REVEREND MOTHER MOHIAM, The thing must go.,male
REVEREND MOTHER MOHIAM, GET OUT.,male
GURNEY, They say: everybody here is addicted to it.,male
GURNEY, They say: it’s everywhere. In the food. In the air.,male
HAWAT, The Harkonnens took ten billion Solaris out of here every year.,male
HAWAT, Harkonnen sabotage slows us down.,male
IDAHO, Treat them well. These are friends.,male
IDAHO, And there are hundreds of sietches.,male
IDAHO, Sire. Milord Duke.,male
IDAHO, I swear you’re taller.,male
IDAHO, I have so much to tell you.,male
IDAHO," For four weeks I lived with the Fremen, in a community called a sietch. Hidden in the desert. Stilgar, the leader of that sietch, has come with me to meet you, Sire.",male
IDAHO, Underground. Arrakis is full of caverns.,male
IDAHO, I’d say ten thousand people.,male
IDAHO," The Fremen watched me search for them for days. I never saw them. Finally they sent a warrior out to kill me. I’ll tell you, I’ve never been so close to dying. There are no finer fighters in the Imperium. They fight like demons.",male
IDAHO," Thank you, milord.",male
IDAHO, A crysknife. Sacred to his people.,male
IDAHO," HOLD! Thank you, Stilgar, for the gift of your body’s moisture. We accept it in the spirit in which it is given.",male
IDAHO," This is for you. A paracompass. The moons here have magnetic fields, so a simple compass needle won’t point north. It takes a clever piece of clockwork to sort it out.",male
IDAHO," And stillsuits, and sand compactors ...all kinds of ingenious things.",male
IDAHO, That’s a sand compactor.,male
IDAHO," I do. They’re fierce, but loyal. Attuned to the desert. Part of it. It’s part of them. Wait ‘til you see. It’s beautiful out there.",male
IDAHO, Kynes!,male
IDAHO, Will you tell the Great Houses of the Landsraad how we were betrayed? How the best of them was murdered here?,male
IDAHO, The Emperor sent us here to die.,male
IDAHO, Paul. I’m so sorry. Your father...,male
IDAHO, She’s found us a place to hide. And friends to watch over us.,male
IDAHO," I listened on the combat channels. Gurney gave ‘em hell at Arrakeen Landing, but lost the day. They must have landed ten legions. Hundreds of ships. There were Sardaukar with them. At least two battalions.",male
IDAHO," You cross swords with a Sardaukar, you know it.",male
STILGAR, That is all I have to say to you.,male
STILGAR, The boy is young. He can learn. Liet favors him. He may have sanctuary. But the woman is untrained and too old to learn our ways.,male
STILGAR," Back, you dogs! She’ll cut my throat!",male
STILGAR, Chani. Take charge of the newcomers. See that they are safe on the journey.,male
STILGAR, Is he toying with him?,male
KYNES, My Lord Duke. Welcome to Arrakis.,male
KYNES," They are of Fremen make. The best. With your permission, Sire, I must check the integrity of your suits.",male
KYNES," A stillsuit is a high-efficiency filtration system. It cools the body, and recycles the water lost to sweat and other bodily fluids. Without one of these you wouldn’t survive two hours, even in the morning. Your body’s movements provide the power.",male
KYNES, Your desert boots are fitted slip- fashion at the ankles. Who taught you to do that?,male
KYNES, I am accepted in both sietch and village. But I remain an out- worlder in the Emperor’s service. Now. Come and see the spice sands on which your livelihood depends.,male
KYNES, You wouldn’t want to go down out there. It’s worm territory.,male
KYNES, That’s one of your harvesters.,male
KYNES," A sand wave moving toward the crawler. Worms travel deep but get closer to the surface when they attack. If you are patient, we should see one.",male
KYNES, Always. They’re drawn by rhythmic noises.,male
KYNES, A shield’s a death sentence in the desert. They attract the worms and drive them into a killing frenzy.,male
KYNES, A big one. You have good eyes.,male
KYNES," Unlisted flight, Imperium business. Wormsign north and east of you three point seven kilometers.",male
KYNES, They’ll call the carryall to lift the crawler. They’ll harvest right up to the last minute.,male
